"","game.id","outcome","abbrvs","conference","name","pts","rank"
"477",239,"l","TULA","Conference USA","Tulane",0,26
"478",239,"w","OLE","Southeastern","Mississippi",39,26
"479",240,"l","SOBAMA","Sun Belt","South Alabama",10,26
"480",240,"w","MISS ST","Southeastern","Mississippi State",30,23
"481",241,"l","VMI","FCS","Virginia Military Institute",3,26
"482",241,"w","NAVY","Independent","Navy",41,26
"483",242,"l","IDST","FCS","Idaho State",7,26
"484",242,"w","NEB","Big Ten","Nebraska",73,25
"485",243,"l","HAW","Mountain West","Hawaii",24,26
"486",243,"w","NEV","Mountain West","Nevada",69,26
"487",244,"l","AF","Mountain West","Air Force",35,26
